Date,Open,High,Low,Close,Adj Close,Volume
2000-11-23,1100.138916,1148.817627,1100.138916,1148.817627,899.250549,67272
2000-11-24,1139.081787,1148.817627,1139.081787,1148.817627,899.250549,161626
2000-11-27,1148.817627,1148.817627,1129.346069,1148.817627,899.250549,143619
2000-11-28,1148.817627,1148.817627,1148.817627,1148.817627,899.250549,271073
2000-11-29,1148.817627,1148.817627,1148.817627,1148.817627,899.250549,177414
2000-11-30,1148.817627,1148.817627,1148.817627,1148.817627,899.250549,498929
2000-12-01,1148.817627,1168.289063,1119.610352,1119.610352,876.388123,192743
2000-12-04,1119.610352,1119.610352,1119.610352,1109.874634,868.767456,20645
2000-12-05,1109.874634,1109.874634,1109.874634,1109.874634,868.767456,0
2000-12-06,1070.931641,1119.610352,1070.931641,1119.610352,876.388123,63617
2000-12-07,1109.874634,1119.610352,1109.874634,1114.742554,872.577820,21159
2000-12-08,1114.742554,1114.742554,1090.403076,1090.403076,853.525818,45297
2000-12-11,1070.931641,1109.874634,1070.931641,1109.874634,868.767456,10723
2000-12-12,1109.874634,1119.610352,1109.874634,1109.874634,868.767456,28852
2000-12-13,1109.874634,1109.874634,1109.874634,1109.874634,868.767456,224584
2000-12-14,1109.874634,1153.685547,1109.874634,1148.817627,899.250549,40952
2000-12-15,1119.610352,1148.817627,1109.874634,1148.817627,899.250549,17788
2000-12-18,1119.610352,1153.685547,1119.610352,1119.610352,876.388123,5803
2000-12-19,1153.685547,1153.685547,1153.685547,1153.685547,903.060974,467863
2000-12-20,1158.553345,1158.553345,1158.553345,1158.553345,906.871216,25370
2000-12-21,1148.817627,1148.817627,1148.817627,1148.817627,899.250549,4827
2000-12-22,1158.553345,1168.289063,1158.553345,1163.421143,910.681641,39957
2000-12-25,1163.421143,1163.421143,1163.421143,1163.421143,910.681641,0
2000-12-26,1163.421143,1163.421143,1163.421143,1163.421143,910.681641,0
2000-12-27,1148.817627,1148.817627,1148.817627,1158.553345,906.871216,15437
2000-12-28,1158.553345,1158.553345,1148.817627,1148.817627,899.250549,43602
2000-12-29,1158.553345,1158.553345,1148.817627,1148.817627,899.250549,256785
2001-01-01,1148.817627,1148.817627,1148.817627,1148.817627,899.250549,0
2001-01-02,1139.081787,1139.081787,1139.081787,1139.081787,891.629395,1746
2001-01-03,1148.817627,1148.817627,1080.667358,1080.667358,845.905090,0
2001-01-04,1139.081787,1148.817627,1139.081787,1148.817627,899.250549,95808
2001-01-05,1119.610352,1119.610352,1080.667358,1080.667358,845.905090,893
2001-01-08,1080.667358,1080.667358,1080.667358,1080.667358,845.905090,6185
2001-01-09,1090.403076,1095.270996,1090.403076,1090.403076,853.525818,13548
2001-01-10,1090.403076,1090.403076,1090.403076,1090.403076,853.525818,1977
2001-01-11,1090.403076,1090.403076,1090.403076,1090.403076,853.525818,616
2001-01-12,1090.403076,1095.270996,1090.403076,1095.270996,857.336182,169684
2001-01-15,1100.138916,1163.421143,1100.138916,1148.817627,899.250549,31430
2001-01-16,1148.817627,1163.421143,1148.817627,1148.817627,899.250549,3595
2001-01-17,1139.081787,1139.081787,1100.138916,1109.874634,868.767456,3081
2001-01-18,1109.874634,1109.874634,1109.874634,1109.874634,868.767456,5075
2001-01-19,1109.874634,1119.610352,1109.874634,1124.478149,880.198608,8597
2001-01-22,1109.874634,1119.610352,1109.874634,1119.610352,876.388123,9676
2001-01-23,1109.874634,1129.346069,1109.874634,1129.346069,884.008850,29447
2001-01-24,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,0
2001-01-25,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,40285
2001-01-26,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,0
2001-01-29,1129.346069,1139.081787,1129.346069,1139.081787,891.629395,4570
2001-01-30,1139.081787,1148.817627,1129.346069,1139.081787,891.629395,240089
2001-01-31,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,110623
2001-02-01,1124.478149,1129.346069,1124.478149,1129.346069,884.008850,74447
2001-02-02,1100.138916,1129.346069,1100.138916,1119.610352,876.388123,8140
2001-02-05,1100.138916,1134.213989,1100.138916,1129.346069,884.008850,11760
2001-02-06,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,147086
2001-02-07,1129.346069,1129.346069,1109.874634,1109.874634,868.767456,15407
2001-02-08,1109.874634,1119.610352,1109.874634,1119.610352,876.388123,62244
2001-02-09,1119.610352,1119.610352,1109.874634,1119.610352,876.388123,9310
2001-02-12,1109.874634,1114.742554,1109.874634,1119.610352,876.388123,16639
2001-02-13,1129.346069,1153.685547,1129.346069,1153.685547,903.060974,46254
2001-02-14,1129.346069,1129.346069,1129.346069,1129.346069,884.008850,133117
2001-02-15,1109.874634,1109.874634,1109.874634,1109.874634,868.767456,53000
2001-02-16,1085.535278,1109.874634,1085.535278,1100.138916,861.146667,5182
2001-02-19,1100.138916,1100.138916,1095.270996,1095.270996,857.336182,107233
2001-02-20,1143.949707,1143.949707,1119.610352,1143.949707,895.439880,863482
2001-02-21,1143.949707,1143.949707,1129.346069,1129.346069,884.008850,132873
2001-02-22,1129.346069,1143.949707,1129.346069,1143.949707,895.439880,36850
2001-02-23,1119.610352,1119.610352,1119.610352,1119.610352,876.388123,541612
2001-02-26,1119.610352,1119.610352,1100.138916,1100.138916,861.146667,149932
2001-02-27,1100.138916,1109.874634,1100.138916,1105.006836,864.957092,55067
2001-02-28,1105.006836,1114.742554,1105.006836,1114.742554,872.577820,6676
2001-03-01,1114.742554,1114.742554,1109.874634,1114.742554,872.577820,56190
2001-03-02,1114.742554,1114.742554,1114.742554,1114.742554,872.577820,0
2001-03-05,1100.138916,1105.006836,1100.138916,1105.006836,864.957092,320879
2001-03-06,1109.874634,1109.874634,1100.138916,1105.006836,864.957092,243227
2001-03-07,1095.270996,1100.138916,1095.270996,1095.270996,857.336182,560306
2001-03-08,1095.270996,1100.138916,1095.270996,1100.138916,861.146667,7084
2001-03-09,1100.138916,1105.006836,1090.403076,1100.138916,861.146667,131713
2001-03-12,1100.138916,1100.138916,1095.270996,1095.270996,857.336182,3440
2001-03-13,1085.535278,1085.535278,1075.799561,1085.535278,849.715454,287059
2001-03-14,1085.535278,1085.535278,1085.535278,1085.535278,849.715454,0
2001-03-15,1041.724365,1041.724365,1022.252930,1022.252930,800.180542,19998
2001-03-16,1022.252930,1022.252930,973.574219,978.442078,765.887085,27322
2001-03-19,978.442078,978.442078,978.442078,997.913574,781.128662,3699
2001-03-20,1002.781494,1022.252930,1002.781494,1002.781494,784.939087,471047
2001-03-21,1002.781494,1002.781494,1002.781494,1002.781494,784.939087,0
